# 단어,품사,우리말샘ID
가금류,명사,616521
가상화,명사,630431
가정의학과,명사,630721
가족애,명사,664392
각본상,명사,1277931
간체,명사,1132317
갈릴레오,명사,815938
감독상,명사,664399
감세안,명사,903762
감청색,명사,677978
강남구,명사,1387019
강동구,명사,1387021
강북구,명사,1387022
강서구,명사,1387020
강화제,명사,851890
개막전,명사,664280
개발사,명사,630284
개발진,명사,1325588
개봉영화,명사,773763
개선안,명사,616827
개인용,명사,630430
개인정보,명사,616829
개최일,명사,929904
개편안,명사,649072
건국대,명사,1396107
건물주,명사,664286
건설업체,명사,646996
결괏값,명사,814549
결승골,명사,617164
결정문,명사,669777
결정전,명사,630750
결제액,명사,810980
겹모음,명사,340198
겹자음,명사,85990
경고음,명사,617886
경기둔화,명사,774486
경기부양,명사,776933
경기부양책,명사,682781
경어체,명사,616522
경제론,명사,1069219
경제발전,명사,754458
경제용어,명사,1383350
경제위기,명사,683491
경험치,명사,814543
계급제,명사,645704
계좌번호,명사,616589
고려대,명사,1389492
고려대학교,명사,1384962
고소당하다,동사,1390805
고소득자,명사,664354
고용불안,명사,616758
고위공직자,명사,703024
곱셈기,명사,709727
공격용,명사,841085
공공주택,명사,702048
공구함,명사,617530
공립대학교,명사,652050
공유기,명사,703319
공정위,명사,974151
공직선거법,명사,663734
공화당,명사,1219742
과학고,명사,726107
과학고등학교,명사,640484
과학실,명사,616876
관광업계,명사,666313
관련기사,명사,710091
괌,명사,525045
광고물,명사,666786
광역지자체,명사,775331
광주시,명사,1387078
광진구,명사,1387032
괴리감,명사,617735
교과부,명사,769388
구로구,명사,1387016
구성물,명사,616935
구조조정,명사,671835
국가대표,명사,617861
국가원로자문회의,명사,1010030
국고채,명사,685696
국내파,명사,634755
국립국어원,명사,1368531
국립대학교,명사,652052
국문과,명사,752797
국민건강보험,명사,616599
국민연금공단,명사,693496
국세청장,명사,791658
군복무,명사,840051
군항제,명사,634533
군항제,명사,634533
굴소스,명사,680366
권력형,명사,839945
규제개혁위원회,명사,1075612
그제서야,부사,662536
근소세,명사,766023
근위사단,명사,342136
근현대사,명사,648798
금감원,명사,1164685
금산분리,명사,796887
금천구,명사,1387027
기가비트,의존 명사,773428
기대심리,명사,703321
기득권층,명사,637415
기부되다,동사,980858
기부채납,명사,767777
기어비,명사,820483
기어비,명사,820483
기업가치,명사,685822
기준금리,명사,616643
기준액,명사,928412
꽃처녀,명사,1097972
꽃처녀,명사,1097972
나눔,명사,712930
난연제,명사,982824
남로당,명사,883715
납북자,명사,794334
내륙지방,명사,620753
내장탕,명사,621879
냉온수기,명사,703267
노무사,명사,662776
노예제,명사,753180
노예제,명사,753180
노원구,명사,1387045
녹색당,명사,1021694
녹취록,명사,734341
농업용,명사,712096
농협중앙회,명사,972125
누드화,명사,798251
뉴에이지,명사,811368
다운로드하다,동사,768616
다운하다,동사,1390613
당좌거래,명사,685531
대부업,명사,625793
대조군,명사,879816
대책반,명사,672637
대형마트,명사,630210
덧글,명사,750893
데자뷔,명사,1121805
도봉구,명사,1387044
도소매,명사,631687
도어록,명사,664053
독일군,명사,1322494
독일인,명사,794269
독점계약,명사,616815
돌려차기,명사,794338
동대문구,명사,1387037
동북아,명사,849690
동아대,명사,1390812
동작구,명사,1387038
두벌식,명사,1368225
등급제,명사,1169962
등락률,명사,679881
등락폭,명사,854737
등록번호,명사,1025150
등록자,명사,1120025
등반객,명사,719464
디도스,명사,820246
디카,명사,617973
라틴계,명사,663726
로그아웃하다,동사,928685
로그인하다,동사,1202373
로또,명사,776213
로스쿨,명사,616922
루게릭병,명사,731559
류마티스,명사,709979
리눅스,명사,1385558
리모델링,명사,672584
리뷰,명사,703346
리아스식,명사,845013
리콜하다,동사,731489
리필,명사,622047
링크하다,동사,772198
마이크론,의존 명사,868181
마케팅하다,동사,786016
마포구,명사,1387017
막가파,명사,792473
맞춤형,명사,820521
맨정신,명사,703362
메모장,명사,621666
메세지,명사,776208
메일링리스트,명사,813978
멜로,명사,811546
명문대,명사,636013
명의도용,명사,702162
모바일,명사,617817
모병제,명사,734359
무결성,명사,800054
무독성,명사,631166
무력화,명사,663268
무력화되다,동사,849758
무력화하다,동사,663272
무산소,명사,841625
무선랜,명사,784290
무선인터넷,명사,696184
무속인,명사,642161
무신론적,명사,646722
문제투성이,명사,636085
문제해결,명사,1186980
문화제,명사,785702
물류,명사,649115
뮤지션,명사,1050804
미국령,명사,767340
미국산,명사,789318
미니시리즈,명사,702036
미세먼지,명사,756324
미세조정,명사,756332
미술부,명사,757378
미술실,명사,635810
민정당,명사,1142679
민주노동당,명사,1142663
민주당,명사,1219779
민주정의당,명사,1115991
민주통합당,명사,1124504
민주평화통일자문회의,명사,1184418
바이러스성,명사,944320
반향음,명사,998524
발주되다,동사,1098721
밥풀떼기,명사,639786
방통위,명사,1368521
배기음,명사,672521
배출량,명사,836399
버퍼링,명사,768102
벌채되다,동사,748150
범용적,명사,793656
법의학적,명사,1102393
벤더,명사,1312126
변환되다,동사,786353
병원비,명사,648935
보급률,명사,667840
보급형,명사,748156
보드,명사,912865
보습제,명사,662812
보유국,명사,667852
보유세,명사,805929
보유액,명사,635040
보좌진,명사,664313
보험사,명사,664314
보호대,명사,460221
복잡계,명사,652534
복지론,명사,1102518
복지부,명사,1368893
복합기,명사,631041
복합성,명사,667867
본부장,명사,915148
본회의장,명사,840437
봉인되다,동사,1278340
부경대,명사,1390291
부경대학교,명사,1386290
부르카,명사,944611
부산대,명사,1389796
부진정연대채무,명사,1033045
북조선,명사,175759
